Transaction ID,1,2,3,4,5,6,7
Trans1,Decorative Pillows,Quilts,Embroidered Bedspread,,,,
Trans2,Embroidered Bedspread,Shams,Kids Bedding,Bedding Collections,Bed Skirts,Bedspreads,Sheets
Trans3,Decorative Pillows,Quilts,Embroidered Bedspread,Shams,Kids Bedding,Bedding Collections,
Trans4,Kids Bedding,Bedding Collections,Sheets,Bedspreads,Bed Skirts,,
Trans5,Decorative Pillows,Kids Bedding,Bedding Collections,Sheets,Bed Skirts,Bedspreads,
Trans6,Bedding Collections,Bedspreads,Bed Skirts,Sheets,Shams,Kids Bedding,
Trans7,Decorative Pillows,Quilts,,,,,
Trans8,Decorative Pillows,Quilts,Embroidered Bedspread,,,,
Trans9,Bedspreads,Bed Skirts,Shams,Kids Bedding,Sheets,,
Trans10,Quilts,Embroidered Bedspread,Bedding Collections,,,,
Trans11,Bedding Collections,Bedspreads,Bed Skirts,Kids Bedding,Shams,Sheets,
Trans12,Decorative Pillows,Quilts,,,,,
Trans13,Embroidered Bedspread,Shams,,,,,
Trans14,Sheets,Shams,Bed Skirts,Kids Bedding,,,
Trans15,Decorative Pillows,Quilts,,,,,
Trans16,Decorative Pillows,Kids Bedding,Bed Skirts,Shams,,,
Trans17,Decorative Pillows,Shams,Bed Skirts,,,,
Trans18,Quilts,Sheets,Kids Bedding,,,,
Trans19,Shams,Bed Skirts,Kids Bedding,Sheets,,,
Trans20,Decorative Pillows,Bedspreads,Shams,Sheets,Bed Skirts,Kids Bedding,